prop_type,purpose,covered_area,price,location,beds,baths,amenities
Lower Portion,For Sale,350,34000000,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,"Built in year: 2015
Parking Spaces
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floors,Bedrooms: 5
Bathrooms: 6
Servant Quarters
Drawing Room
Dining Room
Kitchens: 2,,,,"
Upper Portion,For Sale,240,29500000,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,"Built in year: 2023
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors
Other Main Features
Furnished,Bedrooms: 3
Bathrooms: 3
Drawing Room,,,"
House,For Sale,1,400000000,"DHA Defence, Karachi, Sindh",7,6,"Bedrooms: 7
Bathrooms: 8
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens: 2
Study Room
Prayer Room
Powder Room
Gym
Store Rooms: 2
Steam Room
Lounge or Sitting Room
Laundry Room,,,"
House,For Sale,500,200000000,"DHA Defence, Karachi, Sindh",7,6,"Built in year: 2025
Parking Spaces: 3
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Floors: 2
Other Main Features
Furnished,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2,,,,,"
Flat,For Sale,167,23000000,"DHA Defence, Karachi, Sindh",3,4,"Built in year: 2018
Parking Spaces: 2
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 3
Floors in Building: 5
Elevators: 1
Service Elevators in Building,,,"
House,For Sale,1,380000000,"DHA Defence, Karachi, Sindh",7,6,"Built in year: 2024
Parking Spaces: 6
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Furnished,Bedrooms: 6
Bathrooms: 8
Servant Quarters: 2,,"
House,For Sale,500,140000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2018
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens: 2,,,,"
House,For Sale,1,200000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2005
Parking Spaces: 6
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Floors: 2,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens: 2,,"
Flat,For Sale,247,53500000,"Clifton, Karachi, Sindh",3,4,"Built in year: 2029
Parking Spaces: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 2
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Flat,For Sale,168,20000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,"Built in year: 7
Parking Spaces: 2
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators
Service Elevators in Building
Other Main Features
Furnished"
House,For Sale,500,140000000,"DHA Defence, Karachi, Sindh",6,6,"Parking Spaces: 3
Flooring
Electricity Backup
Floors: 2,Bedrooms: 6
Bathrooms: 6
Servant Quarters
Drawing Room
Dining Room
Kitchens
Study Room
Prayer Room
Powder Room,,"
Flat,For Sale,185,30000000,"Callachi Cooperative Housing Society, Karachi, Sindh",3,3,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Flat,For Sale,139,10500000,"Scheme 33, Karachi, Sindh",2,2,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service
Other Nearby Places"
House,For Sale,1,550000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features
Furnished,Bedrooms: 6
Bathrooms: 9
Servant Quarters,,,,,"
Flat,For Sale,300,34500000,"Jinnah Avenue, Karachi, Sindh",4,5,"Built in year: 2025
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators: 2
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Flat,For Sale,161,13500000,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,"Built in year: 2025
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 4
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
House,For Sale,1,270000000,"DHA Defence, Karachi, Sindh",6,6,"Flooring,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens: 1
Lounge or Sitting Room,,"
Flat,For Sale,72,3800000,"Gadap Town, Karachi, Sindh",2,2,"Bedrooms: 2
Bathrooms: 2
Dining Room
Kitchens: 1
Store Rooms: 1,Broadband Internet Access
Satellite or Cable TV Ready
Intercom
ATM Machines,Community Lawn or Garden
Community Swimming Pool,"
Flat,For Sale,179,50900000,"Korangi, Karachi, Sindh",2,2,"Built in year
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Elevators
Other Main Features,Bedrooms: 2
Bathrooms: 2
Servant Quarters: 1,,,,,"
Flat,For Sale,216,42500000,"Clifton, Karachi, Sindh",3,3,"Parking Spaces
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floor
Elevators
Other Main Features,Bedrooms: 3
Bathrooms: 3
Drawing Room
Dining Room
Kitchens
Study Room,,,,"
House,For Sale,120,31000000,"Naya Nazimabad, Karachi, Sindh",4,4,"Built in year: 2023
Parking Spaces: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features
Furnished,Bedrooms: 4
Bathrooms: 4
Servant Quarters: 1,,,,,"
Upper Portion,For Sale,240,40000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,"Parking Spaces: 1
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal,Bedrooms: 4
Bathrooms: 5
Servant Quarters: 1
Drawing Room
Dining Room
Kitchens: 1
Powder Room
Store Rooms: 1
Lounge or Sitting Room,,,,"
House,For Sale,300,92500000,"DHA Defence, Karachi, Sindh",5,6,"Built in year: 2014
Parking Spaces: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Bedrooms: 5
Bathrooms: 6
Servant Quarters: 1,,,,,"
House,For Sale,300,72500000,"DHA Defence, Karachi, Sindh",4,5,"Built in year: 2007
Parking Spaces: 2
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features
Furnished,Bedrooms: 4
Bathrooms: 5
Servant Quarters: 1,,,,,"
Flat,For Sale,133,10500000,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,"Built in year: 2008
Lobby in Building
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 5
Other Main Features,Bedrooms: 2
Bathrooms: 2
Drawing Room
Dining Room
Kitchens: 1
Store Rooms: 1,,,,,"
House,For Sale,500,140000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2018
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors: 2,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens: 2,,,,"
House,For Sale,1,200000000,"DHA Defence, Karachi, Sindh",6,6,"Built in year: 2005
Parking Spaces: 6
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Floors: 2,Bedrooms: 6
Bathrooms: 7
Servant Quarters: 2
Drawing Room
Dining Room
Kitchens: 2,,"
Flat,For Sale,122,13000000,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,"Built in year: 2010
Parking Spaces
Flooring
Electricity Backup
Floor: 2
Floors in Building: 6
Elevators,Bedrooms: 3
Bathrooms: 3
Drawing Room
Dining Room
Kitchens
Study Room,,"
Flat,For Sale,209,28500000,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,4,"Built in year: 7
Parking Spaces: 2
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators
Service Elevators in Building
Other Main Features
Furnished,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants,Security Staff"
House,For Sale,375,82000000,"Cantt, Karachi, Sindh",5,5,"Flooring,Bedrooms: 5
Bathrooms: 5
Drawing Room
Dining Room
Kitchens: 1
Study Room
Prayer Room
Powder Room
Store Rooms: 1
Steam Room
Lounge or Sitting Room,,"
Flat,For Sale,356,15000000,"Cantt, Karachi, Sindh",3,3,"Built in year: 2020
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 18
Floors in Building: 13
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
House,For Sale,375,81500000,"Cantt, Karachi, Sindh",5,5,"Flooring,Bedrooms: 5
Bathrooms: 5
Drawing Room
Dining Room
Kitchens: 1,Community Lawn or Garden
First Aid or Medical Centre
Kids Play Area,,"
Flat,For Sale,300,45000000,"Cantt, Karachi, Sindh",3,3,"Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Service Elevators in Building
Furnished,Bedrooms: 3
Bathrooms: 3
Drawing Room
Dining Room
Kitchens: 1
Study Room,,,,,"
Residential Plot,For Sale,2,235000000,"DHA Defence, Karachi, Sindh",0,0,"Possesion
Corner
Park Facing
Disputed
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Commercial Plot,For Sale,100,50000000,"DHA Defence, Karachi, Sindh",0,0,"Possesion
Corner
Park Facing
Disputed
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Residential Plot,For Sale,500,17000000,"DHA City Karachi, Karachi, Sindh",0,0,Security Staff
Residential Plot,For Sale,1,130000000,"DHA Defence, Karachi, Sindh",0,0,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff"
Residential Plot,For Sale,1,240000000,"DHA Defence, Karachi, Sindh",0,0,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Commercial Plot,For Sale,100,14000000,"Gadap Town, Karachi, Sindh",0,0,"Possesion
Corner
Park Facing
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Residential Plot,For Sale,240,55000000,"Naya Nazimabad, Karachi, Sindh",0,0,"Possesion
Corner
Park Facing
File
Sewerage
Electricity
Water Supply
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff"
Residential Plot,For Sale,240,46500000,"Naya Nazimabad, Karachi, Sindh",0,0,"Possesion
Corner
Park Facing
Disputed
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Residential Plot,For Sale,240,46500000,"Naya Nazimabad, Karachi, Sindh",0,0,"Possesion
Park Facing
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Residential Plot,For Sale,100,22500000,"DHA Defence, Karachi, Sindh",0,0,"Possesion
Corner
Park Facing
Disputed
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff"
Residential Plot,For Sale,125,2900000,"Bahria Town Karachi, Karachi, Sindh",0,0,"Possesion
Sewerage
Electricity
Water Supply
Sui Gas,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff"
Residential Plot,For Sale,125,3125000,"Bahria Town Karachi, Karachi, Sindh",0,0,"Sewerage
Electricity
Water Supply,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff"
Residential Plot,For Sale,500,8500000,"DHA City Karachi, Karachi, Sindh",0,0,"Possesion
File
Balloted
Sewerage
Electricity
Water Supply
Sui Gas
Boundary Wall,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
